
# Efinity Pinout Report
# Version: 2023.1.150.5.11
# Date: 2023-11-14 13:01

# Copyright (C) 2017 - 2023 Efinix Inc. All rights reserved.

# Device: Ti60F225
# Package status: final
# Project: DDR3_MC
# Configuration mode: active (x1)

Pin Number,Pin Name,Signal Name,Direction,Bank,I/O Bank Voltage,I/O Standard,Pull Type,Function
K14,GPIOR_P_07,ba[2].P,Output,3B,1.5 V,1.5 V SSTL,,User IO
K15,GPIOR_N_05_CDI31,addr[0].N,Output,3B,1.5 V,1.5 V SSTL,,User IO
L1,GPIOL_N_03_CDI1,,,1A,1.8 V,,,User IO/Configuration
L2,VCCIO1A,,Power,1A,1.8 V,,,VCCIO Power
L3,CDONE,,Bidirectional,1A,1.8 V,,,Configuration
L4,VCCAUX,,Power,4B,1.5 V,,,
L5,VCCA_BL,,Power,,,,,0.95 V PLL Power
L6,GPIOB_P_04_SSU_N,vref1.P,Input,4B,1.5 V,1.5 V SSTL,,User IO/VREF/Configuration
L7,GPIOB_N_06_CDI9,ba[0].N,Output,4B,1.5 V,1.5 V SSTL,,User IO
L8,GPIOB_N_09_CLK13_N,cke.N,Output,4A,1.5 V,1.5 V SSTL,,User IO/GCLK/RCLK
L9,GPIOB_N_10_CLK12_N,ba[1].N,Output,4A,1.5 V,1.5 V SSTL,,User IO/GCLK/RCLK
L10,VCCA_BR,,Power,,,,,0.95 V PLL Power
L11,GPIOR_P_00_PLLIN0,addr[4].P,Output,3B,1.5 V,1.5 V SSTL,,User IO/PLL_CLKIN
L12,GPIOR_P_01_EXTFB,addr[12].P,Output,3B,1.5 V,1.5 V SSTL,,User IO/PLL_EXTFB
L13,GPIOR_N_01_CDI23,addr[1].N,Output,3B,1.5 V,1.5 V SSTL,,User IO/PLL_EXTFB
L14,VCCIO3B,,Power,3B,1.5 V,,,VCCIO Power
L15,GPIOR_P_05_CDI30,we.P,Output,3B,1.5 V,1.5 V SSTL,,User IO/VREF
M1,GPIOL_P_03_CDI0,,,1A,1.8 V,,,User IO/Configuration
M2,GPIOL_N_02_CSO,mdio_io1.N,Bidirectional,1A,1.8 V,1.8 V LVCMOS,,User IO/Configuration
M3,VCC,,Power,,,,,0.95 V VCC Power
M4,TDO,,Output,BL,3.3 V,,,Configuration
M5,REF_RES_4B,,Input,4B,1.5 V,,,
M6,GPIOB_N_03_CDI7,dq[9].N,Bidirectional,4B,1.5 V,1.5 V SSTL,,User IO
M7,GPIOB_P_06_CDI8,odt.P,Output,4B,1.5 V,1.5 V SSTL,,User IO
M8,GPIOB_N_08_CLK14_N,cs.N,Output,4B,1.5 V,1.5 V SSTL,,User IO/GCLK/RCLK
M9,GPIOB_P_10_CLK12_P,dm[0].P,Output,4A,1.5 V,1.5 V SSTL,,User IO/GCLK/RCLK
M10,GPIOB_N_13_CDI15,dq[1].N,Bidirectional,4A,1.5 V,1.5 V SSTL,,User IO
M11,VCCAUX,,Power,4B,1.5 V,,,
M12,REF_RES_3B,,Input,3B,1.5 V,,,
M13,GND,,Power,,,,,Ground
M14,GPIOR_P_02_CDI24,ras.P,Output,3B,1.5 V,1.5 V SSTL,,User IO
M15,GPIOR_N_02_CDI25,cas.N,Output,3B,1.5 V,1.5 V SSTL,,User IO
N1,GPIOL_N_01_CCK,,,1A,1.8 V,,,User IO/Configuration
N2,GPIOL_P_02_CSI,,,1A,1.8 V,,,User IO/Configuration
N3,TMS,,Input,BL,3.3 V,,,Configuration
N4,TCK,,Input,BL,3.3 V,,,Configuration
N5,VCCIO4B,,Power,4B,1.5 V,,,VCCIO Power
N6,GPIOB_P_03_CDI6,dq[13].P,Bidirectional,4B,1.5 V,1.5 V SSTL,,User IO
N7,VCCIO4B,,Power,4B,1.5 V,,,VCCIO Power
N8,GPIOB_P_08_CLK14_P,dq[11].P,Bidirectional,4B,1.5 V,1.5 V SSTL,,User IO/GCLK/RCLK
N9,VCCIO4A,,Power,4A,1.5 V,,,VCCIO Power
N10,GPIOB_P_13_CDI14,dq[5].P,Bidirectional,4A,1.5 V,1.5 V SSTL,,User IO
N11,VCCIO4A,,Power,4A,1.5 V,,,VCCIO Power
N12,REF_RES_4A,,Input,4A,1.5 V,,,
N13,GPIOR_24,,Input,BR,3.3 V,,weak pullup,User IO
N14,GPIOR_21,b_led[0],Output,BR,3.3 V,3.3 V LVCMOS,,User IO
N15,VCCIO33_BR,,Power,BR,3.3 V,,,VCCIO Power
P1,GPIOL_P_01_SSL_N,,,1A,1.8 V,,,User IO/Configuration
P2,GPIOL_P_00_PLLIN0,rxd[2].P,Input,1A,1.8 V,1.8 V LVCMOS,,User IO/PLL_CLKIN
P3,TDI,,Input,BL,3.3 V,,,Configuration
P4,VCCIO33_BL,,Power,BL,3.3 V,,,VCCIO Power
P5,GPIOB_N_00,dq[15].N,Bidirectional,4B,1.5 V,1.5 V SSTL,,User IO/PLL_CLKIN
P6,GPIOB_N_01,dq[12].N,Bidirectional,4B,1.5 V,1.5 V SSTL,,User IO/PLL_EXTFB
P7,GPIOB_N_02_CDI5,dqs[1].N,Bidirectional,4B,1.5 V,1.5 V Differential SSTL,,User IO
P8,GPIOB_N_07_CLK15_N,dq[8].N,Bidirectional,4B,1.5 V,1.5 V SSTL,,User IO/GCLK/RCLK
P9,GPIOB_N_12_CDI13,dq[3].N,Bidirectional,4A,1.5 V,1.5 V SSTL,,User IO
P10,GPIOB_N_14_CDI17,dq[6].N,Bidirectional,4A,1.5 V,1.5 V SSTL,,User IO
P11,GPIOB_P_17_PLLIN1,dq[7].P,Bidirectional,4A,1.5 V,1.5 V SSTL,,User IO/PLL_CLKIN
P12,GPIOB_N_17,dq[4].N,Bidirectional,4A,1.5 V,1.5 V SSTL,,User IO/PLL_CLKIN
P13,GPIOR_27,nrst,Input,BR,3.3 V,3.3 V LVCMOS,weak pullup,User IO
P14,GPIOR_22,b_led[1],Output,BR,3.3 V,3.3 V LVCMOS,,User IO
P15,GPIOR_25,,Input,BR,3.3 V,,weak pullup,User IO
R1,GND,,Power,,,,,Ground
R2,GPIOL_N_00,tx_en_o.N,Output,1A,1.8 V,1.8 V LVCMOS,,User IO/PLL_CLKIN
R3,GPIOL_01,phy_rst_n,Output,BL,3.3 V,3.3 V LVCMOS,,User IO
R4,GPIOL_02,phy_rst_n1,Output,BL,3.3 V,3.3 V LVCMOS,,User IO
R5,GPIOB_P_00_PLLIN1,dq[14].P,Bidirectional,4B,1.5 V,1.5 V SSTL,,User IO/PLL_CLKIN
R6,GPIOB_P_01_EXTFB,dq[10].P,Bidirectional,4B,1.5 V,1.5 V SSTL,,User IO/PLL_EXTFB
R7,GPIOB_P_02_CDI4,dqs[1].P,Bidirectional,4B,1.5 V,1.5 V Differential SSTL,,User IO
R8,GPIOB_P_07_CLK15_P,dm[1].P,Output,4B,1.5 V,1.5 V SSTL,,User IO/GCLK/RCLK
R9,GPIOB_P_12_CDI12,dq[0].P,Bidirectional,4A,1.5 V,1.5 V SSTL,,User IO
R10,GPIOB_P_14_CDI16,dq[2].P,Bidirectional,4A,1.5 V,1.5 V SSTL,,User IO
R11,GPIOB_N_15_CDI19,dqs[0].N,Bidirectional,4A,1.5 V,1.5 V Differential SSTL,,User IO
R12,GPIOB_P_15_CDI18,dqs[0].P,Bidirectional,4A,1.5 V,1.5 V Differential SSTL,,User IO
R13,GPIOR_29_PLLIN2,,Input,BR,3.3 V,,weak pullup,User IO/PLL_CLKIN
R14,GPIOR_28,,Input,BR,3.3 V,,weak pullup,User IO
R15,GND,,Power,,,,,Ground
